Дивизион ASM;ASM;Город;Магазин;Дивизион SAP;Материал: Категория;Категория;Подкатегория;Планнейм;Группа ID;Группа;Дата пересчета;Частота подсчета;Товаров в группе;Штук в группе;Найдено;Излишки;Недостачи;Брак;Посчитано вручную;Посчитано групп;Всего групп;Доля посчитанных товарных групп
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильная акустика;103010506;Автомобильные колонки;16.03.2026;QTR;6;16;16;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильная акустика;103010509;Автомобильный сабвуфер;16.03.2026;QTR;2;4;4;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильная акустика;103010514;Автомобильный усилитель (многоканальный);16.03.2026;QTR;1;2;2;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильные магнитолы;103030210;Автомобильный монитор;16.03.2026;QTR;1;1;1;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильные магнитолы;103030405;USB-Автомагнитола;16.03.2026;QTR;5;15;15;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильные магнитолы;103030406;USB-Автомагнитола c встроенным монитором;16.03.2026;QTR;4;7;7;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Видеорегистраторы;103090201;Видеорегистратор;16.03.2026;MON;8;22;22;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Видеорегистраторы;533010338;МП_Видеорегистратор;16.03.2026;QTR;2;3;3;0;0;0;0;1;1;100%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;102;Hi-Fi Техника;Hi-Fi Компоненты;Hi-Fi Компоненты;102020608;Активные напольные колонки;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;102;Hi-Fi Техника;Hi-Fi Компоненты;Виниловые проигрыватели и пластинки;102031302;Виниловый проигрыватель;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;103;Остальные развлечения;Развлечения;Акс. для электротранспорта;508010522;Аксессуар для эл. Транспорта;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;104;Домашний кинотеатр One-box;Саундбары;Саундбары;104050402;Саундбар;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;104010301;Театр с полочной акустикой;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010101;Аксессуары для музыкальных центров;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010203;Музыкальный центр Mini;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010204;Музыкальная система Midi;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010205;Беспроводная аудио система;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010210;Агентский Музыкальный центр Mini;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;548010694;Караоке система;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Портативное аудио;Магнитолы с Bluetooth;105020101;Магнитола;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Портативное аудио;Радиоприемники;105020203;Радиоприемник;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Портативное аудио;Радиоприемники;105020204;Радио-часы;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;106;Проекторы;Видеопроекторы для домашнего кинотеатра;Видеопроекторы для домашнего кинотеатра;106010101;Видеопроектор для домашнего кинотеатра;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 32""-38""";107040111;"СТМ Телевизоры 32""-38""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 32""-38""";107090204;"Телевизоры 32""-38""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 39""-43""";107040211;"СТМ Телевизоры 39""-43""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 39""-43""";107090302;"Телевизоры 39""-43""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 44""-50""";107040311;"СТМ Телевизоры 44""- 50""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 44""-50""";107090403;"Телевизоры 44""-50""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 15""-30""";107090702;"Телевизоры 15""-30""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 15""-30""";107090811;"СТМ Телевизоры 15""-30""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 51""-55""";107040411;"СТМ Телевизоры 51""-55""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 51""-55""";107091103;"Телевизоры 51""-55""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 56""-65""";107030111;"СТМ Телевизоры 56""-65""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 56""-65""";107091203;"Телевизоры 56""-65""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 66""+";107091303;"Телевизоры 66""+";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 66""+";548010365;"Телевизоры 90""+";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;108;Фото и Видеокамеры;Цифровые видеокамеры;Акс. для видеокамер;118010758;Аксессуар для Fujifilm INSTAX;20.03.2026;MON;0;0;0;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;108;Фото и Видеокамеры;Аналоговые фотоаппараты;Аналоговые фотоаппараты;109021101;Фотоаппарат цифровой компактный;20.03.2026;MON;1;1;1;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;108;Фото и Видеокамеры;Аналоговые фотоаппараты;Аналоговые фотоаппараты;118010776;МП_Экшн-камера;20.03.2026;MON;0;0;0;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070506;Метеостанция и термостат;20.03.2026;MON;0;1;1;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070508;Датчики безопасности;20.03.2026;MON;2;8;8;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070513;МП_Умная лампочка;20.03.2026;MON;0;0;0;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070519;Умная лампочка;20.03.2026;MON;4;26;26;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070520;Умная светодиодная лента;20.03.2026;MON;1;6;6;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070521;Умный светильник;20.03.2026;MON;1;1;1;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;503020178;IP-камера;20.03.2026;MON;2;4;4;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;508010514;Умная розетка;20.03.2026;MON;1;2;2;0;0;0;0;0;1;33%
Запад;Воронежский;Тамбов;S187;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;508010902;Управление умным домом;20.03.2026;MON;3;8;8;0;0;0;0;0;1;33%
