Дивизион ASM;ASM;Город;Магазин;Дивизион SAP;Материал: Категория;Категория;Подкатегория;Планнейм;Группа ID;Группа;Дата пересчета;Частота подсчета;Товаров в группе;Штук в группе;Найдено;Излишки;Недостачи;Брак;Посчитано вручную;Посчитано групп;Всего групп;Доля посчитанных товарных групп
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильная акустика;103010506;Автомобильные колонки;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильные магнитолы;103030210;Автомобильный монитор;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Автомобильные магнитолы;103030405;USB-Автомагнитола;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Видеорегистраторы;103090201;Видеорегистратор;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;101;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;АВТОМОБИЛЬНАЯ ЭЛЕКТРОНИКА;Видеорегистраторы;533010338;МП_Видеорегистратор;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;102;Hi-Fi Техника;Аксессуары для Hi-Fi компонентов;Акс. для Hi-Fi комп. и акуст. систем;102040118;Кабель акустический;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;103;Остальные развлечения;Развлечения;Электросамокаты и велосипеды;508010510;Гироскутер 6.5 дюймов;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;104;Домашний кинотеатр One-box;Саундбары;Саундбары;104050402;Саундбар;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Видео техника;101010201;DVD-плеер;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010201;Музыкальный центр Micro;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010203;Музыкальный центр Mini;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;105010204;Музыкальная система Midi;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Домашнее аудио;548010694;Караоке система;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Домашнее аудио-видео;Аудиоплееры и диктофоны;207020302;Портативный медиаплеер;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Портативное аудио;Магнитолы с Bluetooth;105020101;Магнитола;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Портативное аудио;Радиоприемники;105020203;Радиоприемник;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;105;МУЗЫКАЛЬНЫЕ ЦЕНТРЫ/МАГНИТОЛЫ/ВИДЕО;Портативное аудио;Радиоприемники;105020204;Радио-часы;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 32""-38""";107090204;"Телевизоры 32""-38""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 39""-43""";107040211;"СТМ Телевизоры 39""-43""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 39""-43""";107090302;"Телевизоры 39""-43""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 44""-50""";107040311;"СТМ Телевизоры 44""- 50""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 44""-50""";107090403;"Телевизоры 44""-50""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 44""-50""";533010297;"МП_Телевизоры 44""-50""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 15""-30""";107090702;"Телевизоры 15""-30""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 51""-55""";107091103;"Телевизоры 51""-55""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 56""-65""";107091203;"Телевизоры 56""-65""";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 66""+";107091303;"Телевизоры 66""+";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;107;Телевизоры;LED-телевизоры;"Телевизоры 66""+";548010365;"Телевизоры 90""+";;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;108;Фото и Видеокамеры;Цифровые видеокамеры;Акс. для видеокамер;118010501;Светофильтр;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;108;Фото и Видеокамеры;Цифровые видеокамеры;Акс. для видеокамер;118010601;Аксессуар для экшн камер;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;108;Фото и Видеокамеры;Цифровые видеокамеры;Акс. для видеокамер;118010606;Аксессуар для экшн камер GoPro;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;108070519;Умная лампочка;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;503020178;IP-камера;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;508010514;Умная розетка;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;109;Гаджеты;Гаджеты;Умный дом;508010902;Управление умным домом;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;110;Музыкальное оборудование и инструменты;Оборудование для DJ;Профессиональное аудио;110010202;Радиосистема;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;113;Портативная акустика;Портативная акустика;Умные колонки;113010305;Умные колонки;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;119;Коммерческое телевидение;Коммерческое телевидение.;Коммерческое телевидение;107120101;Комплектующие;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Аудио/Видео;119;Коммерческое телевидение;Коммерческое телевидение.;Коммерческое телевидение;107120102;Комплект спутникового ТВ;;QTR;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Цифровая техника;203;Компьютеры;Системные блоки;Системные блоки;204020112;МП_Системный блок игровой;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Цифровая техника;204;Ноутбуки;Ноутбуки;Ноутбуки;203020101;Ноутбук;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Цифровая техника;204;Ноутбуки;Ноутбуки;Ноутбуки;565030102;МП_Ноутбук;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Цифровая техника;204;Ноутбуки;Ноутбуки;Ноутбуки игровые;203020107;Ноутбук игровой;;MON;;;;;;;;;1;0%
Запад;Воронежский;Старый Оскол;S244;Цифровая техника;205;Мобильные телефоны;Смартфоны;Смартфоны;205010101;Смартфон;;MON;;;;;;;;;1;0%
